id,severity,priority,category,title,file,line,evidence,impact,recommendation,effort,confidence,status
F-001,CRITICAL,P0,security-rls,RLS permisivo FOR ALL authenticated USING true,supabase/migrations/0001_proveedores_articulos.sql,32,"create policy proveedores_authenticated_all for all to authenticated using (true) with check (true); mismo patrón en CRM/auditoría/domicilios/presupuestos","Cualquier usuario autenticado puede leer/escribir/borrar datos de negocio vía PostgREST ignorando roles de UI","Reemplazar políticas por rol (y/o claims) con USING/WITH CHECK basados en perfiles.rol; denegar por defecto",L,high,confirmed
F-002,CRITICAL,P0,security-authz,RBAC solo en navegación no en datos,src/utils/permisos.ts,1,"Comentario explícito: control a nivel de app; RLS sigue permisivo; proxy.ts:49-50 confirma lo mismo","Rol auditoria/supervisor puede acceder a CRM/compras/RRHH/financieros vía API directa","Tratar proxy/NavBar como UX; imponer autorización en RLS o capa server confiable",M,high,confirmed
F-003,HIGH,P0,security-data,Resultados financieros legibles por cualquier autenticado,supabase/migrations/0014_resultados_mensuales.sql,40,"resultados_mensuales_select_authenticated using (true); escritura solo admin","Filtración de P&L consolidado Dinamic+Moral a roles operativos","Restringir SELECT a admin (y opcionalmente gerente) en RLS",S,high,confirmed
F-004,HIGH,P0,schema,Esquema base no versionado — reconstrucción imposible,supabase/migrations/0002_compras_numeracion.sql,2,"Comentario: tablas empresas/pedidos_*/ordenes_* ya existen; RRHH sin CREATE en repo","No se puede audit/rebuild/prod-parity desde git; riesgo de drift","Exportar DDL+policies del proyecto remoto y versionar migración baseline",M,high,confirmed
F-005,HIGH,P0,security-storage,Storage presupuestos abierto a todo autenticado,supabase/migrations/0030_cliente_presupuestos.sql,13,"presupuestos_clientes_storage_authenticated_all FOR ALL authenticated bucket_id=presupuestos-clientes","Cualquier login puede listar/subir/borrar PDFs de presupuestos de clientes","Políticas por path (cliente_id/user) + ops separadas SELECT/INSERT/DELETE",M,high,confirmed
F-006,HIGH,P0,security-storage,Signed URL 1 año persistida en asistencias,src/components/AusenciaForm.tsx,141,"createSignedUrl(..., 60*60*24*365) y se guarda en asistencias.archivo_url","URLs duraderas a justificaciones; filtración si se filtra la fila o backup","Guardar storage_path; firmar on-demand con TTL corto (minutos)",S,high,confirmed
F-007,HIGH,P1,security-storage,Bucket justificaciones no versionado,supabase/migrations/0030_cliente_presupuestos.sql,3,"Comentario: bucket justificaciones creado a mano en dashboard","Políticas reales desconocidas; posible público o sin límites MIME/size","Versionar bucket+policies; validar MIME/tamaño server-side",S,medium,incomplete
F-008,HIGH,P0,security-idor,Acceso por ID sin ownership (IDOR estructural),src/app/clientes/[id]/page.tsx,14,"Detalle por UUID sin filtro de pertenencia; RLS using(true) hace trivial el IDOR","Cualquier auth user lee/edita cualquier recurso por UUID","Con modelo single-org: endurecer por rol; si multi-tenant futuro: tenant_id obligatorio en RLS",M,high,confirmed
F-009,HIGH,P1,security-session,Auth gate usa getSession no getUser,src/proxy.ts,31,"getSession desde cookie; comentario evita getUser por latencia; mismo patrón en api/usuarios","Sesiones revocadas/stale pueden pasar hasta expiry; chequeo privilegiado más débil","Usar getUser() al menos en /api/usuarios y páginas admin",S,high,confirmed
F-010,HIGH,P1,security-deps,Next.js 16.2.12 con advisory critical RCE,package.json,15,"npm audit: next critical GHSA Image Optimization / Windows RCE; fix 16.3.5","Riesgo de RCE según superficie de deploy (OS/image opt)","Actualizar next (y transitive) a versión parcheada; revisar image optimization",S,high,confirmed
F-011,HIGH,P1,security-deps,xlsx community con Prototype Pollution/ReDoS sin fix,package.json,19,"npm audit: xlsx * high; usado en importaciones Excel","Ataque vía archivo malicioso subido por usuario autenticado","Sustituir por SheetJS Pro o parser alternativo; validar/sandbox imports",M,high,confirmed
F-012,MEDIUM,P1,security-auth,Password mínima 6 y type=text en UI admin,src/app/api/usuarios/route.ts,54,"password.length < 6; UsuarioForm/CambiarPasswordBoton type=text","Contraseñas débiles; shoulder surfing","Política >=12 + complejidad; type=password; opcional force reset",XS,high,confirmed
F-013,MEDIUM,P1,integrity,Operaciones multi-paso sin transacción,src/components/PanelComprasAsignacion.tsx,358,"Insert OC luego items; si falla items queda cabecera huérfana; mismo patrón duplicar/importar","Estados parciales inconsistentes; difícil recuperar","RPC Postgres o edge function atómica; compensaciones",L,high,confirmed
F-014,MEDIUM,P1,integrity,Race al marcar domicilio principal,src/components/MarcarPrincipalBoton.tsx,16,"Dos UPDATEs secuenciales client-side; índice único parcial existe pero ventana de fallo","Puede fallar o dejar 0 principales bajo concurrencia","Función SQL SECURITY DEFINER acotada o unique+upsert atómico",S,high,confirmed
F-015,MEDIUM,P1,integrity,Transiciones de estado solo en frontend,src/components/EstadoOrdenCompraBoton.tsx,8,"SIGUIENTE map en UI; update libre de estado vía supabase client","Usuario puede saltar/revertir estados vía API (borrador<-recepcionada)","CHECK + trigger o RPC que valide transición; RLS column-level si aplica",M,high,confirmed
F-016,MEDIUM,P2,multitenancy,No hay aislamiento multi-tenant; empresa no es tenant,src/types/compras.ts,12,"Empresa={nombre,cuit,...}; empleados.empresa string DINAMIC|MORAL; RLS sin empresa_id","Si se espera SaaS multiempresa el aislamiento es inexistente","Aclarar modelo: app interna single-org vs tenants; si tenants diseñar tenant_id+RLS",XL,high,confirmed
F-017,MEDIUM,P1,security-rls,SELECT perfiles abierto a todos los autenticados,supabase/migrations/0015_perfiles_select_authenticated.sql,7,"perfiles_select_authenticated using (true)","Enumeración de usuarios/roles internos","SELECT propio + admin; o columnas mínimas por rol",S,high,confirmed
F-018,MEDIUM,P2,schema,Migración duplicada 0002 y hueco 0023,supabase/migrations/,0002,"0002_compras_numeracion.sql y 0002_proveedor_habitual.sql; 0023 ausente (revert documentado en 0024)","Orden de apply ambiguo; tooling supabase CLI frágil","Renumerar baseline; documentar historial aplicado; config.toml",S,high,confirmed
F-019,MEDIUM,P2,quality,Lint falla pero no hay CI ni script test,package.json,6,"npm run lint exit 1 (24 errors); no hay test/typecheck scripts; sin .github","Regresiones y any/hooks pasan desapercibidos","CI: lint+tsc+build; arreglar errores; añadir tests RLS críticos",M,high,confirmed
F-020,MEDIUM,P2,performance,Listados sin paginación / select *,src/app/resultados/page.tsx,10,"select('*') resultados y detalle completo; patrón similar en pedidos/articulos/CRM","Degradación con crecimiento de historial; payloads grandes","Paginación server-side; select columnas; índices por fecha/estado",M,high,confirmed
F-021,MEDIUM,P2,security-headers,Sin security headers / CSP en next.config,next.config.ts,3,"nextConfig vacío","Mayor superficie XSS/clickjacking si aparece HTML inseguro","Headers: CSP, HSTS, X-Frame-Options, Referrer-Policy",XS,high,confirmed
F-022,MEDIUM,P2,observability,Sin monitoreo/errores/auditoría de acciones,src/,,,"No hay Sentry/OpenTelemetry/audit_log; errores solo alert()/setError UI","Incidentes ciegos; no trazabilidad para integración","Logging estructurado + error tracking + tabla audit_log para mutaciones sensibles",M,high,confirmed
F-023,MEDIUM,P1,integration-readiness,Sin soft-delete/versionado/eventos/idempotency keys,src/types/compras.ts,63,"Estados simples; deletes duros en CRM; sin webhooks/outbox","Integración con Attendance propensa a pérdida/duplicados/conflictos","Definir IDs estables; updated_at consistente; soft delete; outbox/webhooks server-side",L,high,confirmed
F-024,MEDIUM,P2,privacy,Migraciones con import histórico CRM (posible PII),supabase/migrations/0019_import_historico_ventas.sql,1,"~50–60KB SQL de prospectos/oportunidades generados desde Excel en git","PII en historial git; exposición en forks/clones","Purgar/reescribir historia o mover a seed privado; minimizar datos",M,medium,probable
F-025,LOW,P3,quality,Componentes muy grandes / lógica en UI,src/components/PanelComprasAsignacion.tsx,1,"~590 líneas; importadores 300–400 líneas con reglas de negocio","Alta deuda; difícil testear y modificar con seguridad","Extraer servicios/RPC; tests unitarios de reglas de asignación",L,high,confirmed
F-026,LOW,P3,security-upload,Upload justificaciones sin validación MIME/tamaño,src/components/AusenciaForm.tsx,131,"upload(archivo) sin checks; presupuestos sí validan PDF/15MB client-side","Archivos arbitrarios en storage (límites solo del bucket)","Validar tipo/tamaño; preferir server/edge validation",S,high,confirmed
F-027,LOW,P3,ops,README genérico create-next-app sin runbook,README.md,1,"Bootstrap Next por defecto; sin doc de env/migraciones/roles","Onboarding y operación frágiles","Documentar arquitectura, env vars, migraciones, roles, backups",S,high,confirmed
F-028,INFO,P3,positive,Service role no expuesta al browser,src/utils/supabase/admin.ts,3,"SUPABASE_SERVICE_ROLE_KEY sin NEXT_PUBLIC; solo API/server","Reduce riesgo de bypass total desde cliente","Mantener invariante; secret scanning en CI",XS,high,confirmed
F-029,INFO,P3,architecture,Frontend+Supabase apropiado para app interna single-org,src/proxy.ts,37,"Sin backend tradicional; comentarios asumen RLS como defensa real","Arquitectura viable SI se corrige RLS; no requiere microservicios ahora","Remediar RLS/authz antes de ampliar alcance o integraciones",M,high,confirmed
F-030,HIGH,P0,security-rls,Políticas RLS de tablas core NO VERIFICADAS,supabase/migrations/0002_compras_numeracion.sql,2,"empresas/empleados/asistencias/pedidos_* alteradas pero CREATE/RLS base ausente","Posible peor o igual riesgo que tablas migradas","Extraer pg_policies productivo y completar matriz",M,high,incomplete
F-031,MEDIUM,P2,security-functions,Funciones SQL sin search_path fijado,supabase/migrations/0001_proveedores_articulos.sql,19,"set_updated_at y demás plpgsql sin SET search_path","Riesgo menor sin SECURITY DEFINER; mala higiene","SET search_path = public en todas las functions",XS,high,confirmed
F-032,LOW,P3,integrity,Creación usuario Auth sin rollback de perfil,src/app/api/usuarios/route.ts,73,"Si falla upsert perfiles deja user Auth huérfano a propósito","Usuarios sin perfil/rol; acceso inconsistente","Transacción lógica: borrar auth user si falla perfil o job de reconciliación",S,high,confirmed
