module,operation,current_execution,data_access,business_rule,risk,target_layer,target_endpoint,transaction_required,idempotency_required,migration_priority,dependencies
platform,auth_login,browser_supabase_auth,supabase_auth_client,email_password,HIGH,backend+supabase_auth,POST /auth/login (or keep supabase-js login only),false,false,P1,E-001
platform,auth_logout,browser_supabase_auth,supabase_auth_client,session_clear,MEDIUM,backend+supabase_auth,POST /auth/logout,false,false,P2,E-001
platform,session_gate,next_proxy_getSession,perfiles_select,route_RBAC_UX_only,CRITICAL,backend,middleware_validate_JWT+RBAC,false,false,P0,E-002
usuarios,create_user,api_usuarios_service_role,auth.admin+perfiles,admin_only_min_password_6,HIGH,backend,POST /api/v1/users,true,true,P0,E-001
usuarios,change_role,api_usuarios_service_role,perfiles_update,admin_only,HIGH,backend,PATCH /api/v1/users/{id}/role,false,true,P0,E-001
usuarios,change_password,api_usuarios_service_role,auth.admin,admin_only,HIGH,backend,POST /api/v1/users/{id}/password,false,true,P0,E-016
usuarios,list_users,server_component_admin,auth.listUsers+perfiles,admin_page,MEDIUM,backend,GET /api/v1/users,false,false,P1,E-001
perfiles,read_all,browser_or_ssr,perfiles_select_open,any_authenticated,HIGH,backend+RLS,GET /api/v1/profiles,false,false,P0,E-003
perfiles,self_update_role_possible,NO_VERIFICADO_client,perfiles_update_policy_unknown,escalation,CRITICAL,backend+RLS_deny,n/a_forbid,false,false,P0,E-018
empleados,create,browser_client,empleados_insert,UI_validation_only,CRITICAL,backend,POST /api/v1/employees,false,true,P0,E-001
empleados,activate_deactivate,browser_client,empleados_update_activo,toggle,HIGH,backend,PATCH /api/v1/employees/{id}/status,false,true,P0,E-001
empleados,list_filter,ssr_then_client_filter,empleados_select_star,client_side_filter,MEDIUM,backend,GET /api/v1/employees?cursor=,false,false,P1,E-021
asignaciones,create,browser_client,asignaciones_insert,UI_only,HIGH,backend,POST /api/v1/assignments,false,true,P0,E-001
asignaciones,close,browser_client,asignaciones_update_fecha_hasta,UI_only,HIGH,backend,POST /api/v1/assignments/{id}/close,false,true,P0,E-001
asistencias,upsert_daily,browser_client,asistencias_upsert,onConflict_empleado_fecha,CRITICAL,backend,PUT /api/v1/attendance/{employeeId}/{date},true,true,P0,E-001
asistencias,upload_justificacion,browser_storage,storage_justificaciones+archivo_url_1y,no_MIME_validation,CRITICAL,backend,POST /api/v1/attendance/{id}/attachments,true,true,P0,E-007
asistencias,export,browser_xlsx,asistencias_select,no_audit_trail,HIGH,backend,GET /api/v1/attendance/export,false,false,P1,E-029
clientes,create_with_domicilio,browser_client,clientes_insert+domicilio_insert,multi_step_no_tx,HIGH,backend,POST /api/v1/clients,true,true,P0,E-008
clientes,update,browser_client,clientes_update,UI,HIGH,backend,PATCH /api/v1/clients/{id},false,true,P1,E-001
clientes,list,ssr,clientes_select,open_read,MEDIUM,backend,GET /api/v1/clients,false,false,P2,E-001
